ID,Question Content,Explanation,ID (Options),Is Correct (Options),Option Text (Options)
56056ead78,<TH> Quỹ tích điểm \( M \) nhìn đoạn \( AB = 12cm \) dưới góc vuông là,,5cf74196b,1,Đường tròn tâm \( I \) (trung điểm \( AB \)) bán kính \( 6cm \).
,,,9bec2da9a,0,Nửa đường tròn đường kính \( AB \).
,,,f4aa050f9,0,Đường tròn tâm \( M \) bán kính \( 6cm \).
,,,dfe970029,0,Đường tròn tâm \( I \) bán kính \( 12cm \).
3ccc1e9456,<TH> Giao điểm của hai đường thẳng \( (d_1): y = 3x - 2 \) và \( (d_2): y = 2 - x \) là,,b6ad3ba86,0,\( A(2; 0) \).
,,,fab0b1b74,0,\( A\left(\frac{2}{3}; 0\right) \).
,,,00f5dca2d,0,\( A(1; -1) \).
,,,9db218f00,1,\( A(1; 1) \).
c0e0b28955,"<TH> Tam giác \( ABC \) vuông tại \( A \), đường cao \( AH \). Biết \( AH = 6cm \), \( CH = 9cm \). Độ dài \( AB \) là",,83ac324c8,0,\( \sqrt{13} \).
,,,09dd37104,0,\( 3\sqrt{13} \).
,,,7c968f2f8,1,\( 2\sqrt{13} \).
,,,2845ba9a1,0,\( 13 \).
0a5c335efa,<TH> Độ dài cung \( 60^\circ \) của đường tròn \( (O; 2cm) \) là,,3088a92b2,0,\( \frac{\pi}{2} cm \).
,,,70260b053,0,\( \frac{3\pi}{2} cm \).
,,,c9aba6067,1,\( \frac{2\pi}{3} cm \).
,,,989dcf8a8,0,\( \frac{\pi}{3} cm \).
1598b5f9c7,<TH> Giá trị của biểu thức \( \sqrt{x^2 + 3} \) tại \( x = -1 \) là,,1f370f432,0,\( 4 \).
,,,32369fd8d,1,\( 2 \).
,,,712a8505e,0,\( \pm 2 \).
,,,64cbd1892,0,\( \sqrt{2} \).
f449472f1a,"<TH> Từ điểm \( C \) nằm ngoài \( (O; 3cm) \), kẻ tiếp tuyến \( CA, CB \). Tiếp tuyến tại \( M \) thuộc cung nhỏ \( AB \) cắt \( CA, CB \) lần lượt tại \( D, E \). Biết \( OC = 5cm \). Chu vi tam giác \( CDE \) là",,c9b56f006,0,\( 12cm \).
,,,aa8ca7c9f,0,\( 6cm \).
,,,36eb5ecf8,0,\( 10cm \).
,,,fe97545b4,1,\( 8cm \).
8cc571041d,"<TH> Phương trình \( x^2 + 3x - 4 = 0 \) có hai nghiệm \( x_1, x_2 \). Giá trị của \( x_1^2 x_2 + x_1 x_2^2 \) là",,844a3a54a,0,\(-16\).
,,,ca4d77946,0,\(-12\).
,,,a3665627d,1,\(12\).
,,,3773a2cee,0,\(16\).
cf93e89747,"<TH> Với \( a < b \), biểu thức \( \frac{1}{a - b}\sqrt{5 - b^2} \) rút gọn bằng",,c897233e4,0,\( 5 \).
,,,5057b3cbf,1,\( -5 \).
,,,7d8a0c700,0,\( \sqrt{5} \).
,,,08d3ae95e,0,\( -\sqrt{5} \).
7b3d946e01,<TH> Phương trình \( x^2 - 2mx - 2m - 2 = 0 \) có hai nghiệm trái dấu khi,,df1012454,0,\( m < -1 \).
,,,dc1e867e0,0,\( m > 1 \).
,,,a94806343,0,\( m < 1 \).
,,,00462e5a0,1,\( m > -1 \).
6194aceee1,<TH> Hệ phương trình \( \begin{cases} m^2 x - 2y = 7 \\ 2x - y = -1 \end{cases} \) có nghiệm duy nhất khi,,c9e714a0c,0,\( m \neq 2 \).
,,,404be521f,0,\( m \neq -2 \).
,,,2620e0272,0,\( m = \pm 2 \).
,,,e22479358,1,\( m \neq \pm 2 \).
7af42a8199,"<VD> Hai dây \( AB = 12cm \), \( CD = 16cm \) song song và khác phía so với tâm \( O \) của \( (O; 10cm) \). Khoảng cách giữa \( AB \) và \( CD \) là",,264cc35ed,0,\( 2cm \).
,,,a39faf942,1,\( 14cm \).
,,,1deeb1336,0,\( 8cm \).
,,,96b5b349d,0,\( 6cm \).
de63507112,<TH> Hệ phương trình \( \begin{cases} ax + 3y = 4 \\ x + by = -2 \end{cases} \) có nghiệm \( (-1; 2) \) khi,,5f39333ab,0,\( a = 2; b = 0 \).
,,,09452f3a5,0,\( a = -2; b = -\frac{1}{2} \).
,,,027aeb4cb,1,\( a = 2; b = -\frac{1}{2} \).
,,,005f40627,0,\( a = 2; b = \frac{1}{2} \).
9703902b99,<TH> Đường thẳng đi qua \( A(0; 2) \) và song song với \( y = 2x \) là,,026535f5d,1,\( y = 2x + 2 \).
,,,27dff2859,0,\( y = -2x + 2 \).
,,,9baf3944f,0,\( y = 2x + 1 \).
,,,7c9a88512,0,\( y = x + 2 \).
822e9f5f39,<NB> Cho \( \cot \alpha = 3 \). Giá trị \( \tan \alpha \) là,,81e3f5df4,0,\( \frac{1}{3} \).
,,,4b575db42,0,\( 3 \).
,,,d8c9e0dfb,0,\( -\frac{1}{3} \).
,,,82864254e,1,\( -3 \).
1b5b77408f,<TH> Bóng của một ngọn hải đăng dài \( 65m \) với góc tạo bởi tia nắng và mặt đất là \( 69^\circ \). Chiều cao ngọn hải đăng là,,aeadef465,0,\( 170m \).
,,,379a5b2ce,0,\( 61m \).
,,,d8bae2064,0,\( 24m \).
,,,c6cc17856,1,\( 169m \).
9133221af0,<TH> Đồ thị \( y = ax^2 \) cắt đường thẳng \( y = -2x + 3 \) tại điểm có hoành độ \( 3 \). Giá trị \( a \) là,,ffc1f0809,0,\(-3\).
,,,7b896a47e,1,\( -\frac{1}{3} \).
,,,3059b627a,0,\( 3 \).
,,,e96af4231,0,\( \frac{1}{3} \).
790c739954,<VD> Tổng các giá trị nguyên của \( x \) để \( A = \frac{-6}{\sqrt{x - 2}} \) (\( x \geq 0; x \neq 4 \)) nguyên âm là,,6a234c4f6,1,\( 114 \).
,,,603c33200,0,\( 121 \).
,,,6ff1dca2b,0,\( 160 \).
,,,daa547ff6,0,\( 150 \).
2319182cbc,<VD> Tam giác đều \( ABC \) cạnh \( 3cm \) ngoại tiếp đường tròn \( I \). Diện tích miền gạch sọc là,,ddc7c2445,1,\( \frac{3\sqrt{3} - \pi}{4} \).
,,,6e0f2605f,0,\( \frac{9\sqrt{3} - 3\pi}{4} \).
,,,c5e24e081,0,\( \frac{2\sqrt{3} - \pi}{4} \).
,,,3518d14b2,0,\( \frac{3\sqrt{3} - \pi}{8} \).
644bbd2876,"<TH> Rút gọn \( 23\sqrt{x - y} \sqrt{36x^5} - 2x^2 \sqrt{49xy^2} + \sqrt{16x} \) (\( x \geq 0, y < 0 \)) được",,97cd2e63b,0,\( 39\sqrt{x} - 50x^2 y \sqrt{x} \).
,,,b4f8fb99b,1,\( 27\sqrt{x} + 8x^2 y \sqrt{x} \).
,,,5b6cbcdf8,0,\( 27\sqrt{x} - 20x^2 y \sqrt{x} \).
,,,ee7af2f50,0,\( 39\sqrt{x} + 62x^2 y \sqrt{x} \).
417453bc19,"<VD> Hai đường tròn \( (O; 20cm) \) và \( (O'; 15cm) \) cắt nhau tại \( A, B \) (\( AB = 24cm \)), \( O \) và \( O' \) khác phía so với \( AB \). Độ dài \( OO' \) là",,0018e4b3b,1,\( 25cm \).
,,,e0d2005c1,0,\( 9cm \).
,,,72015f821,0,\( 7cm \).
,,,6bc044851,0,\( 8cm \).
b736165581,"<VD> Từ điểm \( M \) ngoài \( (O; R) \), kẻ tiếp tuyến \( MT \) và cát tuyến \( MAB \) qua \( O \). Biết \( MT = 20cm \), \( MB = 50cm \). Bán kính \( R \) là",,4bb21c1f9,0,\( 22cm \).
,,,8691ee68d,1,\( 21cm \).
,,,549964a17,0,\( 20cm \).
,,,c44fa87b1,0,\( 25cm \).
be7302ced5,"<VD> Ba đường thẳng \( (d_1): y = 2x + 3 \), \( (d_2): y = x + 5 \), \( (d_3): y = (m - 1)x + 3 \) đồng quy khi \( m \) bằng",,500689f17,0,\( 5 \).
,,,7f45ce7ef,1,\( 3 \).
,,,b9c6c53c0,0,\( 2 \).
,,,fcf1f6496,0,\( 4 \).
c97756dbbf,"<VD> Tiếp tuyến song song với dây \( AB = 1.6R \) của \( (O; R) \) cắt \( OA, OB \) tại \( M, N \). Diện tích tam giác \( OMN \) là",,326514798,0,\( \frac{5}{3} R^2 \).
,,,a3525a633,0,\( R^2 \).
,,,8f3831105,0,\( \frac{3}{2} R^2 \).
,,,fb0f80585,1,\( \frac{4}{3} R^2 \).
287f974213,"<VD> Mảnh vườn hình chữ nhật có chu vi \( 40m \). Nếu giảm chiều dài \( 2m \), tăng chiều rộng \( 3m \) thì diện tích tăng \( 24m^2 \). Hệ phương trình biểu thị mối quan hệ giữa chiều dài \( x \) và chiều rộng \( y \) là",,b771516e3,0,\( \begin{cases} x + y = 20 \\ xy - (x - 2)(y + 3) = 24 \end{cases} \).
,,,2a3f4199e,0,\( \begin{cases} x + y = 20 \\ (x - 2)(y + 3) - xy = 24 \end{cases} \).
,,,8f58d9618,1,\( \begin{cases} 2x + 2y = 40 \\ (x - 2)(y + 3) = xy + 24 \end{cases} \).
,,,beb5a9ace,0,\( \begin{cases} x + y = 20 \\ (x + 2)(y + 3) = xy - 24 \end{cases} \).
6a43654d8c,<VDC> Lon sơn hình trụ dung tích \( 5 \) lít cần bán kính đáy \( R \) để diện tích toàn phần nhỏ nhất là,,a89d73221,0,\( R = \sqrt[3]{\frac{5}{2\pi}} dm \).
,,,b682ddf79,1,\( R = \sqrt[3]{5} dm \).
,,,8c4a8767e,0,\( R = \sqrt{\frac{5}{2\pi}} dm \).
,,,4e206b758,0,\( R = \frac{5}{2\pi} dm \).
6f347fff89,<VDC> Số nghiệm của phương trình \( \sqrt{x + 3} + \sqrt{5 - x} = x^2 - 2x - 7 \) là,,cc205b7ff,1,\( 1 \).
,,,46598ea9c,0,\( 0 \).
,,,719b87ace,0,\( 3 \).
,,,4f1c91f60,0,\( 2 \).
ee25076fc6,"<VDC> Số giá trị tự nhiên \( m \) để hệ \( \begin{cases} 4x + my = -m + 10 \\ mx + y = 4 \end{cases} \) có nghiệm \( (x; y) \) thỏa \( x > 0, y > 0 \) là",,0b4f6d97c,1,\( 7 \).
,,,21188ed35,0,\( 8 \).
,,,6fa97c002,0,\( 10 \).
,,,4a80cb4d1,0,\( 9 \).
fa9cd55094,"<VDC> Biểu thức \( B = \frac{3x_1^2 + 3x_2^2 + 4x_1 + 4x_2 - 5}{x_1^2 + x_2^2 - 4} \) (với \( x_1, x_2 \) là nghiệm của \( x^2 - (m + 1)x - 3 = 0 \)) đạt giá trị nhỏ nhất \( a \) tại \( m = b \). Khẳng định đúng là",,fa45bd891,0,\( a = 3b \).
,,,4aaf4895e,0,\( a^2 + b^2 = 1 \).
,,,f7da57992,0,\( a - b = 2023 \).
,,,66874ae08,1,\( a + 2b = 6 \).
bf3b6df2b4,"<VDC> Tam giác \( ABC \) vuông tại \( A \) (\( AB = 6cm, AC = 8cm \)). Tổng diện tích hai hình lưỡi liềm tạo bởi nửa đường tròn đường kính \( BC \) và hai nửa đường tròn đường kính \( AB, AC \) là",,3538271d5,0,\( 28cm^2 \).
,,,5c1a925a1,1,\( 24cm^2 \).
,,,7f370b109,0,\( 36cm^2 \).
,,,5d70b6572,0,\( 48cm^2 \).
8c32b40c79,"<VDC> Cho tam giác \(ABC\) vuông tại \(A\) có \(AB = 6cm\), \(AC = 8cm\). Vẽ nửa đường tròn đường kính \(BC\) đi qua \(A\). Ở miền ngoài tam giác \(ABC\), vẽ hai nửa đường tròn có đường kính lần lượt là \(AB\) và \(AC\). Tổng diện tích hai hình lưỡi liềm (phần tô đậm) là",,f83bea635,0,\(28cm^2\).
,,,bc1481202,1,\(24cm^2\).
,,,ab7b1b313,0,\(36cm^2\).
,,,94f2fc407,0,\(48cm^2\).
